id,keywordsSequenceFR-NEW,keywordsSequenceNL,kuuSequence,sequenceLevel,idL1,keywordsFrL1,keywordsNlL1,idL2,keywordsFrL2,keywordsNlL2,idL3,keywordsFrL3,keywordsNlL3,idL4,keywordsFrL4,keywordsNlL4,idL5,keywordsFrL5,keywordsNlL5
KUD2-12-8-4,DROIT CIVIL - DROITS RÉELS - Usufruit - Obligations,BURGERLIJK RECHT - ZAKELIJKE RECHTEN - Vruchtgebruik - Verplichtingen,[KUU2]-[KUU2-12]-[KUU2-12-8]-[KUU2-12-8-4],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-12,DROITS RÉELS,ZAKELIJKE RECHTEN,KUU2-12-8,Usufruit,Vruchtgebruik,KUU2-12-8-4,Obligations,Verplichtingen,,,
KUD2-12-8-5,DROIT CIVIL - DROITS RÉELS - Usufruit - Fin,BURGERLIJK RECHT - ZAKELIJKE RECHTEN - Vruchtgebruik - Einde,[KUU2]-[KUU2-12]-[KUU2-12-8]-[KUU2-12-8-5],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-12,DROITS RÉELS,ZAKELIJKE RECHTEN,KUU2-12-8,Usufruit,Vruchtgebruik,KUU2-12-8-5,Fin,Einde,,,
KUD2-12-9,DROIT CIVIL - DROITS RÉELS - Usage et habitation,BURGERLIJK RECHT - ZAKELIJKE RECHTEN - Gebruik en bewoning,[KUU2]-[KUU2-12]-[KUU2-12-9],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-12,DROITS RÉELS,ZAKELIJKE RECHTEN,KUU2-12-9,Usage et habitation,Gebruik en bewoning,,,,,,
KUD2-13,DROIT CIVIL - DROIT DE SUCCESSION,BURGERLIJK RECHT - ERFRECHT,[KUU2]-[KUU2-13],L2,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,,,,,,,,,
KUD2-13-1,DROIT CIVIL - DROIT DE SUCCESSION - Généralités (droit de succession),BURGERLIJK RECHT - ERFRECHT - Algemeen (erfrecht),[KUU2]-[KUU2-13]-[KUU2-13-1],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-1,Généralités (droit de succession),Algemeen (erfrecht),,,,,,
KUD2-13-2,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession,BURGERLIJK RECHT - ERFRECHT - Erfrecht,[KUU2]-[KUU2-13]-[KUU2-13-2],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,,,,,,
KUD2-13-2-1,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Généralités,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Algemeen,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-1],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-1,Généralités,Algemeen,,,
KUD2-13-2-4,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Ordres divers,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Onderscheiden orden,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-4],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-4,Ordres divers,Onderscheiden orden,,,
KUD2-13-2-4-3,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Ordres divers - Descendants,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Onderscheiden orden - Afstammelingen,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-4]-[KUU2-13-2-4-3],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-4,Ordres divers,Onderscheiden orden,KUU2-13-2-4-3,Descendants,Afstammelingen
KUD2-13-2-4-4,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Ordres divers - Conjoint survivant,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Onderscheiden orden - Langstlevende echtgenoot,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-4]-[KUU2-13-2-4-4],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-4,Ordres divers,Onderscheiden orden,KUU2-13-2-4-4,Conjoint survivant,Langstlevende echtgenoot
KUD2-13-2-5,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Acceptation et répudiation,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Aanvaarding en verwerping,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-5],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-5,Acceptation et répudiation,Aanvaarding en verwerping,,,
KUD2-13-2-5-1,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Acceptation et répudiation - Généralités,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Aanvaarding en verwerping - Algemeen,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-5]-[KUU2-13-2-5-1],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-5,Acceptation et répudiation,Aanvaarding en verwerping,KUU2-13-2-5-1,Généralités,Algemeen
KUD2-13-2-5-2,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Acceptation et répudiation - Acceptation pure et simple,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Aanvaarding en verwerping - Zuivere aanvaarding,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-5]-[KUU2-13-2-5-2],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-5,Acceptation et répudiation,Aanvaarding en verwerping,KUU2-13-2-5-2,Acceptation pure et simple,Zuivere aanvaarding
KUD2-13-2-5-3,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Acceptation et répudiation - Répudiation,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Aanvaarding en verwerping - Verwerping,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-5]-[KUU2-13-2-5-3],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-5,Acceptation et répudiation,Aanvaarding en verwerping,KUU2-13-2-5-3,Répudiation,Verwerping
KUD2-13-2-5-4,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Acceptation et répudiation - Acceptation sous bénéfice d'inventaire,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Aanvaarding en verwerping - Aanvaarding onder voorbehoud boedelbeschrijving,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-5]-[KUU2-13-2-5-4],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-5,Acceptation et répudiation,Aanvaarding en verwerping,KUU2-13-2-5-4,Acceptation sous bénéfice d'inventaire,Aanvaarding onder voorbehoud boedelbeschrijving
KUD2-13-2-6,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Successions vacantes,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Onbeheerde nalatenschap,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-6],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-6,Successions vacantes,Onbeheerde nalatenschap,,,
KUD2-13-2-7,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,,,
KUD2-13-2-7-1,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Généralités,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Algemeen,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-1],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-1,Généralités,Algemeen
KUD2-13-2-7-2,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Sortir de l'indivision,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Uit onverdeeldheidtreding,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-2],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-2,Sortir de l'indivision,Uit onverdeeldheidtreding
KUD2-13-2-7-3,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Rapports,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Inbreng,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-3],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-3,Rapports,Inbreng
KUD2-13-2-7-4,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Paiement de dettes,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Betalen schulden,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-4],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-4,Paiement de dettes,Betalen schulden
KUD2-13-2-7-5,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Effets,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Gevolgen,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-5],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-5,Effets,Gevolgen
KUD2-13-2-7-6,DROIT CIVIL - DROIT DE SUCCESSION - Droit de succession - Partage et rapports - Rescision,BURGERLIJK RECHT - ERFRECHT - Erfrecht - Vereffening en verdeling - Vernietiging,[KUU2]-[KUU2-13]-[KUU2-13-2]-[KUU2-13-2-7]-[KUU2-13-2-7-6],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-13,DROIT DE SUCCESSION,ERFRECHT,KUU2-13-2,Droit de succession,Erfrecht,KUU2-13-2-7,Partage et rapports,Vereffening en verdeling,KUU2-13-2-7-6,Rescision,Vernietiging
KUD2-14,DROIT CIVIL - DONATIONS ET TESTAMENTS,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN,[KUU2]-[KUU2-14],L2,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,,,,,,,,,
KUD2-14-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Généralités (donations et testaments),BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Algemeen (schenkingen en testamenten),[KUU2]-[KUU2-14]-[KUU2-14-1],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-1,Généralités (donations et testaments),Algemeen (schenkingen en testamenten),,,,,,
KUD2-14-10,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations et testaments - Droit international,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen en testamenten - Internationaal recht,[KUU2]-[KUU2-14]-[KUU2-14-10],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-10,Donations et testaments - Droit international,Schenkingen en testamenten - Internationaal recht,,,,,,
KUD2-14-10-4,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations et testaments - Droit international - Autres,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen en testamenten - Internationaal recht - Andere,[KUU2]-[KUU2-14]-[KUU2-14-10]-[KUU2-14-10-4],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-10,Donations et testaments - Droit international,Schenkingen en testamenten - Internationaal recht,KUU2-14-10-4,Autres,Andere,,,
KUD2-14-2,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften,[KUU2]-[KUU2-14]-[KUU2-14-2],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,,,,,,
KUD2-14-2-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons - Généralités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften - Algemeen,[KUU2]-[KUU2-14]-[KUU2-14-2]-[KUU2-14-2-1],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,KUU2-14-2-1,Généralités,Algemeen,,,
KUD2-14-2-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons - Capacité,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften - Bekwaamheid,[KUU2]-[KUU2-14]-[KUU2-14-2]-[KUU2-14-2-3],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,KUU2-14-2-3,Capacité,Bekwaamheid,,,
KUD2-14-2-4,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons - Portion disponible,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften - Beschikbaar gedeelte,[KUU2]-[KUU2-14]-[KUU2-14-2]-[KUU2-14-2-4],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,KUU2-14-2-4,Portion disponible,Beschikbaar gedeelte,,,
KUD2-14-2-4-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons - Portion disponible - Généralités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften - Beschikbaar gedeelte - Algemeen,[KUU2]-[KUU2-14]-[KUU2-14-2]-[KUU2-14-2-4]-[KUU2-14-2-4-1],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,KUU2-14-2-4,Portion disponible,Beschikbaar gedeelte,KUU2-14-2-4-1,Généralités,Algemeen
KUD2-14-2-4-5,DROIT CIVIL - DONATIONS ET TESTAMENTS - Dons - Portion disponible - Réduction,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Giften - Beschikbaar gedeelte - Inkorting,[KUU2]-[KUU2-14]-[KUU2-14-2]-[KUU2-14-2-4]-[KUU2-14-2-4-5],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-2,Dons,Giften,KUU2-14-2-4,Portion disponible,Beschikbaar gedeelte,KUU2-14-2-4-5,Réduction,Inkorting
KUD2-14-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen,[KUU2]-[KUU2-14]-[KUU2-14-3],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,,,,,,
KUD2-14-3-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Généralités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Algemeen,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-1],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-1,Généralités,Algemeen,,,
KUD2-14-3-2,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation notariale,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Notariële schenking,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-2],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-2,Donation notariale,Notariële schenking,,,
KUD2-14-3-2-2,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation notariale - Acceptation,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Notariële schenking - Aanvaarding,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-2]-[KUU2-14-3-2-2],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-2,Donation notariale,Notariële schenking,KUU2-14-3-2-2,Acceptation,Aanvaarding
KUD2-14-3-2-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation notariale - Conditions de validité,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Notariële schenking - Geldigheidsvereisten,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-2]-[KUU2-14-3-2-3],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-2,Donation notariale,Notariële schenking,KUU2-14-3-2-3,Conditions de validité,Geldigheidsvereisten
KUD2-14-3-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation manuelle,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Handgift,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-3],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-3,Donation manuelle,Handgift,,,
KUD2-14-3-5,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation déguisée,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Vermomde schenking,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-5],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-5,Donation déguisée,Vermomde schenking,,,
KUD2-14-3-6,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Donation indirecte,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Onrechtstreekse schenking,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-6],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-6,Donation indirecte,Onrechtstreekse schenking,,,
KUD2-14-3-7,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Révocation,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Herroeping,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-7],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-7,Révocation,Herroeping,,,
KUD2-14-3-8,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Irrévocabilité,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Onherroepelijkheid,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-8],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-8,Irrévocabilité,Onherroepelijkheid,,,
KUD2-14-3-9,DROIT CIVIL - DONATIONS ET TESTAMENTS - Donations - Autres,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Schenkingen - Andere,[KUU2]-[KUU2-14]-[KUU2-14-3]-[KUU2-14-3-9],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-3,Donations,Schenkingen,KUU2-14-3-9,Autres,Andere,,,
KUD2-14-4,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten,[KUU2]-[KUU2-14]-[KUU2-14-4],L3,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,,,,,,
KUD2-14-4-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Généralités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Algemeen,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-1],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-1,Généralités,Algemeen,,,
KUD2-14-4-2-2,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Olographe,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Eigenhandig,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-2]-[KUU2-14-4-2-2],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-2,,,KUU2-14-4-2-2,Olographe,Eigenhandig
KUD2-14-4-2-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Par acte public,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Openbaar,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-2]-[KUU2-14-4-2-3],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-2,,,KUU2-14-4-2-3,Par acte public,Openbaar
KUD2-14-4-2-4,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - International,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Internationale vorm,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-2]-[KUU2-14-4-2-4],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-2,,,KUU2-14-4-2-4,International,Internationale vorm
KUD2-14-4-3,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Testament conjonctif,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Conjunctief testament,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-3],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-3,Testament conjonctif,Conjunctief testament,,,
KUD2-14-4-4,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Formalités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Formaliteiten,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-4],L4,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-4,Formalités,Formaliteiten,,,
KUD2-14-4-6-1,DROIT CIVIL - DONATIONS ET TESTAMENTS - Testaments - Généralités,BURGERLIJK RECHT - SCHENKINGEN EN TESTAMENTEN - Testamenten - Algemeen,[KUU2]-[KUU2-14]-[KUU2-14-4]-[KUU2-14-4-6]-[KUU2-14-4-6-1],L5,KUU2,DROIT CIVIL,BURGERLIJK RECHT,KUU2-14,DONATIONS ET TESTAMENTS,SCHENKINGEN EN TESTAMENTEN,KUU2-14-4,Testaments,Testamenten,KUU2-14-4-6,,,KUU2-14-4-6-1,Généralités,Algemeen
